double slit,d,L3,L2,L1,C,R1,R2,R3
0.04,0.25,4.35,3.10,1.80,0.00,1.90,3.10,4.40
0.04,0.25,4.40,3.10,1.90,0.00,1.90,3.10,4.40
0.04,0.25,4.35,3.10,1.80,0.00,1.90,3.10,4.35
0.04,0.50,4.35,3.10,1.80,0.00,1.90,3.10,4.40
0.04,0.50,4.35,3.10,1.85,0.00,1.90,3.05,4.40
0.04,0.50,4.40,3.05,1.80,0.00,1.85,3.10,4.40
0.08,0.25,2.10,1.60,0.90,0.00,0.90,1.55,2.20
0.08,0.25,2.10,1.55,0.90,0.00,0.85,1.55,2.10
0.08,0.25,2.10,1.60,0.90,0.00,0.90,1.55,2.10
0.08,0.50,2.10,1.60,0.90,0.00,0.90,1.60,2.20
0.08,0.50,2.10,1.60,0.90,0.00,0.90,1.55,2.20
0.08,0.50,2.20,1.55,0.90,0.00,0.90,1.55,2.20
